Drug_Name,URL
"Acetaminophen, Caffeine and Dihydrocodeine Bitartrate (Trezix Capsules)",https://www.rxlist.com/trezix-drug.htm
"Acetaminophen, Isometheptene and Dichloralphenazone (Midrin)",https://www.rxlist.com/midrin-drug.htm
Acetazolamide Injection (Acetazolamide Injection),https://www.rxlist.com/acetazolamide-injection-drug.htm
Acetazolamide Tablets (Acetazolamide Tablets),https://www.rxlist.com/acetazolamide-drug.htm
Acetazolamide Tablets and Injection (Diamox Tablets and Injection),https://www.rxlist.com/diamox-tablets-and-injection-drug.htm
Acetazolamide XR (Diamox Sequels),https://www.rxlist.com/diamox-sequels-drug.htm
Acetic Acid (Acetic Acid),https://www.rxlist.com/acetic-acid-drug.htm
Acetohydroxamic Acid Tablets (Lithostat),https://www.rxlist.com/lithostat-drug.htm
Acetyl Sulfisoxazole Pediatric Suspension (Gantrisin),https://www.rxlist.com/gantrisin-drug.htm
Acetylcholine Chloride Intraocular Solution (Miochol-E),https://www.rxlist.com/miochol-e-drug.htm
Acetylcysteine Effervescent Tablets for Oral Solution (Cetylev),https://www.rxlist.com/cetylev-drug.htm
Acetylcysteine for Oral Solution (Legubeti),https://www.rxlist.com/legubeti-drug.htm
Acetylcysteine Injection (Acetadote),https://www.rxlist.com/acetadote-drug.htm
Acetylcysteine Solution (Mucomyst) (N-acetyl-L-cysteine),https://www.rxlist.com/acetylcysteine-solution-drug.htm
"Acetylsalicylic Acid (ASA), Caffeine and Butalbital (Trianal)",https://www.rxlist.com/trianal-drug.htm
Achromycin V (tetracycline),https://www.rxlist.com/achromycin-v-drug.htm
Aci-Jel (Vaginal Jelly),https://www.rxlist.com/aci-jel-drug.htm
Acidul (Fluoride),https://www.rxlist.com/acidul-drug.htm
Aciphex (Rabeprazole Sodium),https://www.rxlist.com/aciphex-drug.htm
Aciphex Sprinkle (rabeprazole sodium),https://www.rxlist.com/aciphex-sprinkle-drug.htm
Acitretin (Soriatane),https://www.rxlist.com/soriatane-drug.htm
Aclidinium Bromide (Tudorza Pressair),https://www.rxlist.com/tudorza-pressair-drug.htm
Aclidinium Bromide and Formoterol Fumarate Inhalation Powder (Duaklir Pressair),https://www.rxlist.com/duaklir-pressair-drug.htm
"Aclovate (Alclometasone Dipropionate Cream, Ointment)",https://www.rxlist.com/aclovate-drug.htm
Acova (Argatroban),https://www.rxlist.com/acova-drug.htm
Acrivastine and Pseudoephedrine (Semprex D),https://www.rxlist.com/semprex-d-drug.htm
Actemra (Tocilizumab Injection),https://www.rxlist.com/actemra-drug.htm
ActHIB (Haemophilus b Conjugate Vaccine),https://www.rxlist.com/acthib-drug.htm
Acthrel (Corticorelin Ovine Triflutate for Injection),https://www.rxlist.com/acthrel-drug.htm
Acticin (Permethrin),https://www.rxlist.com/acticin-drug.htm
"Acticlate (Doxycycline Hyclate Tablets, USP)",https://www.rxlist.com/acticlate-drug.htm
Actidose with Sorbitol and Actidose-Aqua (Activated Charcoal Suspension),https://www.rxlist.com/actidose-with-sorbitol-and-actidose-aqua-drug.htm
"Actigall (Ursodiol, USP Capsules)",https://www.rxlist.com/actigall-drug.htm
Actimmune (Interferon Gamma 1 b),https://www.rxlist.com/actimmune-drug.htm
Actiq (Fentanyl Citrate),https://www.rxlist.com/actiq-drug.htm
Actisite (Tetracycline Periodontal),https://www.rxlist.com/actisite-drug.htm
Activase (Alteplase),https://www.rxlist.com/activase-drug.htm
Activated Charcoal Suspension (Actidose with Sorbitol and Actidose-Aqua),https://www.rxlist.com/actidose-with-sorbitol-and-actidose-aqua-drug.htm
"Activella (Estradiol, Norethindrone Acetate)",https://www.rxlist.com/activella-drug.htm
Actonel (Risedronate Sodium),https://www.rxlist.com/actonel-drug.htm
Actonel with Calcium (Risedronate Sodium with Calcium Carbonate),https://www.rxlist.com/actonel-with-calcium-drug.htm
"Actoplus MET, Actoplus MET XR (Pioglitazone Hcl and Metformin Hcl)",https://www.rxlist.com/actoplus-met-drug.htm
Actos (Pioglitazone Hydrochloride),https://www.rxlist.com/actos-drug.htm
Acular (Ketorolac Tromethamine),https://www.rxlist.com/acular-drug.htm
Acular LS (Ketorolac Tromethamine Ophthalmic Solution),https://www.rxlist.com/acular-ls-drug.htm
Acuvail (Ketorolac Tromethamine Ophthalmic Solution),https://www.rxlist.com/acuvail-drug.htm
ACUVUE Theravision with Ketotifen (Etafilcon A with Ketotifen Daily Disposable Contact Lenses),https://www.rxlist.com/acuvue-theravision-with-ketotifen-drug.htm
Acyclovir (Zovirax),https://www.rxlist.com/zovirax-drug.htm
Acyclovir  (Zovirax Suspension),https://www.rxlist.com/zovirax-suspension-drug.htm
Acyclovir and Hydrocortisone Cream (Xerese),https://www.rxlist.com/xerese-drug.htm
Acyclovir Buccal Tablets (Sitavig),https://www.rxlist.com/sitavig-drug.htm
"Acyclovir Cream, 5% (Zovirax Cream)",https://www.rxlist.com/zovirax-cream-drug.htm
Acyclovir for Injection (Zovirax Injection),https://www.rxlist.com/zovirax-injection-drug.htm
Acyclovir Ointment (Zovirax Ointment),https://www.rxlist.com/zovirax-ointment-drug.htm
Acyclovir Ophthalmic Ointment (Avaclyr),https://www.rxlist.com/avaclyr-drug.htm
Aczone Gel (Dapsone),https://www.rxlist.com/aczone-gel-drug.htm
"Adacel (Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis Vaccine Adsorbed)",https://www.rxlist.com/adacel-drug.htm
Adagen (Pegademase Bovine),https://www.rxlist.com/adagen-drug.htm
Adagrasib Tablets (Krazati),https://www.rxlist.com/krazati-drug.htm
Adakveo (Crizanlizumab-tmca Injection),https://www.rxlist.com/adakveo-drug.htm
Adalat CC (Nifedipine),https://www.rxlist.com/adalat-drug.htm
Adalat XL (Nifedipine Extended-release Tablets),https://www.rxlist.com/adalat-xl-drug.htm
Adalimumab Injection Solution for Subcutaneous Administration (Humira),https://www.rxlist.com/humira-drug.htm
Adalimumab-aacf Injection (Idacio),https://www.rxlist.com/idacio-drug.htm
Adalimumab-aaty Injection (Yuflyma),https://www.rxlist.com/yuflyma-drug.htm
"Adalimumab-ADBM  Injection, for Subcutaneous Use (Cyltezo)",https://www.rxlist.com/cyltezo-drug.htm
"Adalimumab-afzb Injection, for Subcutaneous Use (Abrilada)",https://www.rxlist.com/abrilada-drug.htm
Adalimumab-aqvh Injection (Yusimry),https://www.rxlist.com/yusimry-drug.htm
adalimumab-atto (Amjevita),https://www.rxlist.com/amjevita-drug.htm
Adalimumab-bwwd Injection (Hadlima),https://www.rxlist.com/hadlima-drug.htm
Adalimumab-fkjp njection (Hulio),https://www.rxlist.com/hulio-drug.htm
"Adalimumab-ryvk Injection, for Subcutaneous Use (Simlandi)",https://www.rxlist.com/simlandi-drug.htm
"Adalimumab-xxxx Injection, for Subcutaneous Use (Imraldi)",https://www.rxlist.com/imraldi-drug.htm
"ADAMTS13, Recombinant-krhn for Injection (Adzynma)",https://www.rxlist.com/adzynma-drug.htm
Adapalene (Differin Gel .3%),https://www.rxlist.com/differin-gel-3-drug.htm
Adapalene and Benzoyl Peroxide Gel (Epiduo Gel),https://www.rxlist.com/epiduo-drug.htm
Adapalene and Benzoyl Peroxide Gel 0.3%/2.5% (Epiduo Forte),https://www.rxlist.com/epiduo-forte-drug.htm
Adapalene Cream (Differin Cream),https://www.rxlist.com/differin-cream-drug.htm
Adapalene Gel (Differin Gel .1%),https://www.rxlist.com/differin-gel-1-drug.htm
Adapalene Lotion .1% (Differin Lotion .1),https://www.rxlist.com/differin-lotion-1-drug.htm
"Adapalene, Benzoyl Peroxide, Clindamycin Topical Gel (Cabtreo)",https://www.rxlist.com/cabtreo-drug.htm
Adasuve (Loxapine Inhalation Powder ),https://www.rxlist.com/adasuve-drug.htm
Adbry (Tralokinumab-ldrm for Injection),https://www.rxlist.com/adbry-drug.htm
Adcetris (Brentuximab Vedotin),https://www.rxlist.com/adcetris-drug.htm
Adcirca (Tadalafil Tablets),https://www.rxlist.com/adcirca-drug.htm
"Adderall (Amphetamine, Dextroamphetamine Mixed Salts)",https://www.rxlist.com/adderall-drug.htm
"Adderall XR (Amphetamine, Dextroamphetamine Mixed Salts)",https://www.rxlist.com/adderall-xr-capsules-drug.htm
"Addyi  (Flibanserin Tablets, for Oral Use)",https://www.rxlist.com/addyi-drug.htm
Adefovir Dipivoxil (Hepsera),https://www.rxlist.com/hepsera-drug.htm
Adempas (Riociguat Tablets),https://www.rxlist.com/adempas-drug.htm
Adenocard I.V. (Adenosine),https://www.rxlist.com/adenocard-drug.htm
Adenoscan (Adenosine Injection),https://www.rxlist.com/adenoscan-drug.htm
Adenosine (Adenocard I.V.),https://www.rxlist.com/adenocard-drug.htm
Adenosine Injection (Adenoscan),https://www.rxlist.com/adenoscan-drug.htm
"Adenovirus (Adenovirus Type 4 and Type 7 Vaccine, Live, Oral Enteric Coated Tablets for Oral Administration)",https://www.rxlist.com/adenovirus-drug.htm
"Adenovirus Type 4 and Type 7 Vaccine, Live, Oral Enteric Coated Tablets for Oral Administration (Adenovirus)",https://www.rxlist.com/adenovirus-drug.htm
Adhansia XR (Methylphenidate Hydrochloride Extended-release Capsules),https://www.rxlist.com/adhansia-xr-drug.htm
Adipex-P (Phentermine Hydrochloride),https://www.rxlist.com/adipex-p-drug.htm
Adlarity (Donepezil Hydrochloride),https://www.rxlist.com/adlarity-drug.htm
Adlyxin (Lixisenatide Injection),https://www.rxlist.com/adlyxin-drug.htm
Admelog (Insulin Lispro Injection),https://www.rxlist.com/admelog-drug.htm
Ado-trastuzumab Emtansine Injection for IV Use (Kadcyla),https://www.rxlist.com/kadcyla-drug.htm
Adoxa (Doxycyline Capsules),https://www.rxlist.com/adoxa-drug.htm
"Adrenaclick (Epinephrine Injection, USP Auto-injector)",https://www.rxlist.com/adrenaclick-drug.htm
Adrenalin (Epinephrine),https://www.rxlist.com/adrenalin-drug.htm
AdreView (Iobenguane I 123 Injection for Intravenous Use),https://www.rxlist.com/adreview-drug.htm
Adriamycin PFS (Doxorubicin hydrochloride),https://www.rxlist.com/adriamycin-pfs-drug.htm
Adrucil (Fluorouracil Injection),https://www.rxlist.com/adrucil-drug.htm
"Adstiladrin (Nadofaragene Firadenovec-vncg Suspension, for Intravesical Use)",https://www.rxlist.com/adstiladrin-drug.htm
"Adthyza (Thyroid Tablets, USP)",https://www.rxlist.com/adthyza-drug.htm
Aducanumab (Aduhelm),https://www.rxlist.com/aduhelm-drug.htm
Aduhelm (Aducanumab),https://www.rxlist.com/aduhelm-drug.htm
Advair Diskus (Fluticasone Propionate),https://www.rxlist.com/advair-diskus-drug.htm
Advair HFA (Fluticasone Propionate and Salmeterol),https://www.rxlist.com/advair-hfa-drug.htm
"Advate ([Antihemophilic Factor (Recombinant), Plasma/Albumin-Free Method] for Intravenous Injection)",https://www.rxlist.com/advate-drug.htm
Advicor (Niacin XR and Lovastatin),https://www.rxlist.com/advicor-drug.htm
"Adynovate (Antihemophilic Factor (Recombinant), PEGylated for Injection)",https://www.rxlist.com/adynovate-drug.htm
Adzenys ER (Amphetamine Extended-Release Oral Suspension),https://www.rxlist.com/adzenys-er-drug.htm
Adzenys XR-ODT (Amphetamine Extended-release Orally Disintegrating Tablets),https://www.rxlist.com/adzenys-xr-odt-drug.htm
"Adzynma (ADAMTS13, Recombinant-krhn for Injection)",https://www.rxlist.com/adzynma-drug.htm
Aemcolo (Rifamycin Delayed-release Tablets),https://www.rxlist.com/aemcolo-drug.htm
"Aerobid, Aerobid M (Flunisolide Inhaler)",https://www.rxlist.com/aerobid-drug.htm
Aerospan HFA (Flunisolide Hemihydrate),https://www.rxlist.com/aerospan-hfa-drug.htm
Afamelanotide Implant (Scenesse),https://www.rxlist.com/scenesse-drug.htm
"Afamitresgene Autoleucel Suspension, for Intravenous Infusion (Tecelra)",https://www.rxlist.com/tecelra-drug.htm
"Afatinib Tablets, for Oral Use (Gilotrif)",https://www.rxlist.com/gilotrif-drug.htm
Afeditab CR (Nifedipine Extended-Release Tablets),https://www.rxlist.com/afeditab-cr-drug.htm
Afinitor (Everolimus Tablets),https://www.rxlist.com/afinitor-drug.htm
Afinitor Disperz (Everolimus Tablets),https://www.rxlist.com/afinitor-disperz-drug.htm
Afirmelle (Levonorgestrel and Ethinyl Estradiol Tablets),https://www.rxlist.com/afirmelle-drug.htm
Aflibercept (Eylea),https://www.rxlist.com/eylea-drug.htm
Aflibercept Injection (Eylea HD),https://www.rxlist.com/eylea-hd-drug.htm
"Aflibercept-abzv Injection, for Intravitreal Use (Enzeevu)",https://www.rxlist.com/enzeevu-drug.htm
"Aflibercept-ayyh Injection, for Intravitreal Use (Pavblu)",https://www.rxlist.com/pavblu-drug.htm
Aflibercept-jbvf Injection (Yesafili),https://www.rxlist.com/yesafili-drug.htm
Aflibercept-mrbb Injection (Ahzantive),https://www.rxlist.com/ahzantive-drug.htm
Aflibercept-yszy Injection (Opuviz),https://www.rxlist.com/opuviz-drug.htm
Afluria (Influenza Virus Vaccine),https://www.rxlist.com/afluria-drug.htm
Afluria Quadrivalent 2016 (Afluria Quadrivalent 2016),https://www.rxlist.com/afluria-quadrivalent-drug.htm
Afluria Quadrivalent 2020 (2020 Influenza Vaccine Suspension for Intramuscular Injection),https://www.rxlist.com/afluria-quadrivalent-2020-drug.htm
Afrezza (Insulin Human Inhalation Powder),https://www.rxlist.com/afrezza-drug.htm
Afstyla (Antihemophilic Factor Recombinant Intravenous Injection),https://www.rxlist.com/afstyla-drug.htm
Aftera (Levonorgestrel Tablet),https://www.rxlist.com/aftera-drug.htm
"AfterPill (Levonorgestrel Tablet, 1.5 mg)",https://www.rxlist.com/afterpill-drug.htm
Agalsidase Beta (Fabrazyme),https://www.rxlist.com/fabrazyme-drug.htm
Agamree (Vamorolone Oral Suspension),https://www.rxlist.com/agamree-drug.htm
Agenerase Capsules (Amprenavir Capsules),https://www.rxlist.com/agenerase-drug.htm
Agenerase Oral Solution (Amprenavir Oral Solution),https://www.rxlist.com/agenerase-oral-solution-drug.htm
Aggrastat (Tirofiban HCl),https://www.rxlist.com/aggrastat-drug.htm
"Aggrenox (Aspirin, Extended-Release Dipyridamole Capsules)",https://www.rxlist.com/aggrenox-drug.htm
Agriflu (Influenza Virus Vaccine for Intramuscular Injection),https://www.rxlist.com/agriflu-drug.htm
Agrylin (Anagrelide),https://www.rxlist.com/agrylin-drug.htm
Ahzantive (Aflibercept-mrbb Injection),https://www.rxlist.com/ahzantive-drug.htm
"Aimovig (Erenumab-aooe Injection, for Subcutaneous Use)",https://www.rxlist.com/aimovig-drug.htm
Air polymer-type A Intrauterine Foam (ExEm Foam),https://www.rxlist.com/exem-foam-drug.htm
Airduo Digihaler (Fluticasone Propionate and Salmeterol Inhalation Powder),https://www.rxlist.com/airduo-digihaler-drug.htm
AirDuo RespiClick Inhalation Powder (Fluticasone Propionate and Salmeterol),https://www.rxlist.com/airduo-respiclick-drug.htm
"Airsupra (Albuterol and Budesonide Inhalation Aerosol, for Oral Inhalation)",https://www.rxlist.com/airsupra-drug.htm
Ajovy (Fremanezumab-vfrm Injection),https://www.rxlist.com/ajovy-drug.htm
Ak-Fluor (Fluorescein Injection),https://www.rxlist.com/ak-fluor-drug.htm
AK-Pentolate (Cyclopentolate Hydrochloride Ophthalmic Solution),https://www.rxlist.com/ak-pentolate-drug.htm
Akeega (Niraparib and Abiraterone Acetate Tablets),https://www.rxlist.com/akeega-drug.htm
Akineton (Biperiden),https://www.rxlist.com/akineton-drug.htm
Aklief (Trifarotene Cream),https://www.rxlist.com/aklief-drug.htm
Akovaz (Ephedrine Sulfate Injection),https://www.rxlist.com/akovaz-drug.htm
Akten (Lidocaine Hydrochloride Ophthalmic Gel),https://www.rxlist.com/akten-drug.htm
Aktipak   (Erythromycin 3%-Benzoyl Peroxide 5% Topical Gel),https://www.rxlist.com/aktipak-drug.htm
Akynzeo (Netupitant and Palonosetron Capsules),https://www.rxlist.com/akynzeo-drug.htm
Alamast (Pemirolast Potassium Ophthalmic Solution),https://www.rxlist.com/alamast-drug.htm
Albendazole (Albenza),https://www.rxlist.com/albenza-drug.htm
Albenza (Albendazole),https://www.rxlist.com/albenza-drug.htm
"Albiglutide Pen for Injection, for Subcutaneous Use (Tanzeum)",https://www.rxlist.com/tanzeum-drug.htm
Albuked (Albumin - Human Injection),https://www.rxlist.com/albuked-drug.htm
Albumin (Human) (Albuminar),https://www.rxlist.com/albuminar-drug.htm
Albumin (Human) 5% Solution (Buminate 5%),https://www.rxlist.com/buminate-5-drug.htm
"Albumin (Human) U.S.P.] Sterile, Aqueous Solution for Single Dose Intravenous Administration (Kedbumin)",https://www.rxlist.com/kedbumin-drug.htm
"Albumin (Human) USP, 5% Solution (Flexbumin)",https://www.rxlist.com/flexbumin-drug.htm
Albumin - Human Injection (Albutein),https://www.rxlist.com/albutein-drug.htm
Albumin - Human Injection (AlbuRx),https://www.rxlist.com/alburx-drug.htm
Albumin - Human Injection (Albuked),https://www.rxlist.com/albuked-drug.htm
Albumin - Human Solution for Injection  (Plasbumin),https://www.rxlist.com/plasbumin-drug.htm
Albumin Human Solution for Injection (Albuminex),https://www.rxlist.com/albuminex-drug.htm
"Albumin Human, USP, 25% Solution (Buminate 25%)",https://www.rxlist.com/buminate-drug.htm
Albumin-bound Paclitaxel for Injectable Suspension (Abraxane),https://www.rxlist.com/abraxane-drug.htm
Albuminar (Albumin (Human)),https://www.rxlist.com/albuminar-drug.htm
Albuminex (Albumin Human Solution for Injection),https://www.rxlist.com/albuminex-drug.htm
AlbuRx (Albumin - Human Injection),https://www.rxlist.com/alburx-drug.htm
Albutein (Albumin - Human Injection),https://www.rxlist.com/albutein-drug.htm
"Albuterol and Budesonide Inhalation Aerosol, for Oral Inhalation (Airsupra)",https://www.rxlist.com/airsupra-drug.htm
Albuterol Inhalation (Proventil HFA),https://www.rxlist.com/proventil-drug.htm
Albuterol Sulfate (Albuterol Sulfate Inhalation Solution),https://www.rxlist.com/albuterol-sulfate-drug.htm
Albuterol Sulfate Extended-Release Tablets (VoSpire ER),https://www.rxlist.com/vospire-er-drug.htm
Albuterol Sulfate Inhalation Aerosol (Proair HFA),https://www.rxlist.com/proair-drug.htm
Albuterol Sulfate Inhalation Aerosol (Ventolin HFA),https://www.rxlist.com/ventolin-hfa-drug.htm
Albuterol Sulfate Inhalation Powder (ProAir Respiclick),https://www.rxlist.com/proair-respiclick-drug.htm
Albuterol Sulfate Inhalation Powder (Proair Digihaler),https://www.rxlist.com/proair-digihaler-drug.htm
Albuterol Sulfate Inhalation Solution (Ventolin Solution),https://www.rxlist.com/ventolin-solution-drug.htm
Albuterol Sulfate Inhalation Solution (Albuterol Sulfate),https://www.rxlist.com/albuterol-sulfate-drug.htm
Albuterol Sulfate Inhalation Solution (AccuNeb),https://www.rxlist.com/accuneb-drug.htm
Albuterol Sulfate Syrup (Ventolin Syrup),https://www.rxlist.com/ventolin-syrup-drug.htm
Albuterol Sulfate Tablets (Albuterol Sulfate Tablets),https://www.rxlist.com/albuterol-sulfate-tablets-drug.htm
Alcaftadine Ophthalmic Solution (Lastacaft),https://www.rxlist.com/lastacaft-drug.htm
Alcaine (Proparacaine Hydrochloride Ophthalmic Solution),https://www.rxlist.com/alcaine-drug.htm
"Alclometasone Dipropionate Cream, Ointment (Aclovate)",https://www.rxlist.com/aclovate-drug.htm
Aldactazide (Spironolactone and Hydrochlorothiazide),https://www.rxlist.com/aldactazide-drug.htm
Aldactone (Spironolactone),https://www.rxlist.com/aldactone-drug.htm
Aldara (Imiquimod),https://www.rxlist.com/aldara-drug.htm
Aldesleukin for Injection (Proleukin),https://www.rxlist.com/proleukin-drug.htm
Aldomet (Methyldopa),https://www.rxlist.com/aldomet-drug.htm
Aldoril (Methyldopa-Hydrochlorothiazide),https://www.rxlist.com/aldoril-drug.htm
Aldurazyme (Laronidase),https://www.rxlist.com/aldurazyme-drug.htm
Alecensa (Alectinib Capsules),https://www.rxlist.com/alecensa-drug.htm
Alectinib Capsules (Alecensa),https://www.rxlist.com/alecensa-drug.htm
Alefacept (Amevive),https://www.rxlist.com/amevive-drug.htm
Alemtuzumab (Campath),https://www.rxlist.com/campath-drug.htm
Alemtuzumab Injection for Intravenous Infusion (Lemtrada),https://www.rxlist.com/lemtrada-drug.htm
Alendronate Sodium (Fosamax),https://www.rxlist.com/fosamax-drug.htm
Alendronate Sodium and Cholecalciferol (Fosamax Plus D),https://www.rxlist.com/fosamax-plus-d-drug.htm
Alendronate Sodium Effervescent Tablets (Binosto),https://www.rxlist.com/binosto-drug.htm
Alesse (Levonorgestrel and Ethinyl Estradiol),https://www.rxlist.com/alesse-drug.htm
Alfenta (Alfentanil for Injection),https://www.rxlist.com/alfenta-drug.htm
alfentanil (Alfentanil Injection),https://www.rxlist.com/alfentanil-drug.htm
Alfentanil for Injection (Alfenta),https://www.rxlist.com/alfenta-drug.htm
Alfentanil Injection (alfentanil),https://www.rxlist.com/alfentanil-drug.htm
Alfuzosin HCl (Uroxatral),https://www.rxlist.com/uroxatral-drug.htm
Alglucerase Injection (Ceredase),https://www.rxlist.com/ceredase-drug.htm
Alglucosidase Alfa (Myozyme),https://www.rxlist.com/myozyme-drug.htm
Alglucosidase Alfa (Lumizyme),https://www.rxlist.com/lumizyme-drug.htm
Alimta (Pemetrexed),https://www.rxlist.com/alimta-drug.htm
Alimumab-adaz Injection (Hyrimoz),https://www.rxlist.com/hyrimoz-drug.htm
Alinia (Nitazoxanide),https://www.rxlist.com/alinia-drug.htm
"Aliqopa (Copanlisib for Injection, for Intravenous Use)",https://www.rxlist.com/aliqopa-drug.htm
Alirocumab for Solution for Subcutaneous Injection (Praluent),https://www.rxlist.com/praluent-drug.htm
Aliskiren and Amlodipine Tablets (Tekamlo),https://www.rxlist.com/tekamlo-drug.htm
"Aliskiren and Valsartan, USP Tablets (Valturna)",https://www.rxlist.com/valturna-drug.htm
Aliskiren Tablets (Tekturna),https://www.rxlist.com/tekturna-drug.htm
"Aliskiren, Amlodipine and Hydrochlorothiazide Tablets (Amturnide )",https://www.rxlist.com/amturnide-drug.htm
Aliskren and Hydrochlorothiazide Tablets (Tekturna HCT),https://www.rxlist.com/tekturna-hct-drug.htm
Alitretinoin (Panretin),https://www.rxlist.com/panretin-drug.htm
Alka-Seltzer (Calcium Carbonate),https://www.rxlist.com/alka-seltzer-drug.htm
Alkeran (Melphalan),https://www.rxlist.com/alkeran-drug.htm
