INDEX,Drug_Name,URL
71,Acetylcysteine for Oral Solution (Legubeti),https://www.rxlist.com/legubeti-drug.htm
72,Acetylcysteine Injection (Acetadote),https://www.rxlist.com/acetadote-drug.htm
73,Acetylcysteine Solution (Mucomyst) (N-acetyl-L-cysteine),https://www.rxlist.com/acetylcysteine-solution-drug.htm
74,"Acetylsalicylic Acid (ASA), Caffeine and Butalbital (Trianal)",https://www.rxlist.com/trianal-drug.htm
75,Achromycin V (tetracycline),https://www.rxlist.com/achromycin-v-drug.htm
76,Aci-Jel (Vaginal Jelly),https://www.rxlist.com/aci-jel-drug.htm
77,Acidul (Fluoride),https://www.rxlist.com/acidul-drug.htm
78,Aciphex (Rabeprazole Sodium),https://www.rxlist.com/aciphex-drug.htm
79,Aciphex Sprinkle (rabeprazole sodium),https://www.rxlist.com/aciphex-sprinkle-drug.htm
80,Acitretin (Soriatane),https://www.rxlist.com/soriatane-drug.htm
81,Aclidinium Bromide (Tudorza Pressair),https://www.rxlist.com/tudorza-pressair-drug.htm
82,Aclidinium Bromide and Formoterol Fumarate Inhalation Powder (Duaklir Pressair),https://www.rxlist.com/duaklir-pressair-drug.htm
83,"Aclovate (Alclometasone Dipropionate Cream, Ointment)",https://www.rxlist.com/aclovate-drug.htm
84,Acova (Argatroban),https://www.rxlist.com/acova-drug.htm
85,Acrivastine and Pseudoephedrine (Semprex D),https://www.rxlist.com/semprex-d-drug.htm
86,Actemra (Tocilizumab Injection),https://www.rxlist.com/actemra-drug.htm
87,ActHIB (Haemophilus b Conjugate Vaccine),https://www.rxlist.com/acthib-drug.htm
88,Acthrel (Corticorelin Ovine Triflutate for Injection),https://www.rxlist.com/acthrel-drug.htm
89,Acticin (Permethrin),https://www.rxlist.com/acticin-drug.htm
90,"Acticlate (Doxycycline Hyclate Tablets, USP)",https://www.rxlist.com/acticlate-drug.htm
91,Actidose with Sorbitol and Actidose-Aqua (Activated Charcoal Suspension),https://www.rxlist.com/actidose-with-sorbitol-and-actidose-aqua-drug.htm
92,"Actigall (Ursodiol, USP Capsules)",https://www.rxlist.com/actigall-drug.htm
93,Actimmune (Interferon Gamma 1 b),https://www.rxlist.com/actimmune-drug.htm
94,Actiq (Fentanyl Citrate),https://www.rxlist.com/actiq-drug.htm
95,Actisite (Tetracycline Periodontal),https://www.rxlist.com/actisite-drug.htm
96,Activase (Alteplase),https://www.rxlist.com/activase-drug.htm
97,Activated Charcoal Suspension (Actidose with Sorbitol and Actidose-Aqua),https://www.rxlist.com/actidose-with-sorbitol-and-actidose-aqua-drug.htm
98,"Activella (Estradiol, Norethindrone Acetate)",https://www.rxlist.com/activella-drug.htm
99,Actonel (Risedronate Sodium),https://www.rxlist.com/actonel-drug.htm
100,Actonel with Calcium (Risedronate Sodium with Calcium Carbonate),https://www.rxlist.com/actonel-with-calcium-drug.htm
101,"Actoplus MET, Actoplus MET XR (Pioglitazone Hcl and Metformin Hcl)",https://www.rxlist.com/actoplus-met-drug.htm
102,Actos (Pioglitazone Hydrochloride),https://www.rxlist.com/actos-drug.htm
103,Acular (Ketorolac Tromethamine),https://www.rxlist.com/acular-drug.htm
104,Acular LS (Ketorolac Tromethamine Ophthalmic Solution),https://www.rxlist.com/acular-ls-drug.htm
105,Acuvail (Ketorolac Tromethamine Ophthalmic Solution),https://www.rxlist.com/acuvail-drug.htm
106,ACUVUE Theravision with Ketotifen (Etafilcon A with Ketotifen Daily Disposable Contact Lenses),https://www.rxlist.com/acuvue-theravision-with-ketotifen-drug.htm
107,Acyclovir (Zovirax),https://www.rxlist.com/zovirax-drug.htm
108,Acyclovir  (Zovirax Suspension),https://www.rxlist.com/zovirax-suspension-drug.htm
109,Acyclovir and Hydrocortisone Cream (Xerese),https://www.rxlist.com/xerese-drug.htm
110,Acyclovir Buccal Tablets (Sitavig),https://www.rxlist.com/sitavig-drug.htm
111,"Acyclovir Cream, 5% (Zovirax Cream)",https://www.rxlist.com/zovirax-cream-drug.htm
112,Acyclovir for Injection (Zovirax Injection),https://www.rxlist.com/zovirax-injection-drug.htm
113,Acyclovir Ointment (Zovirax Ointment),https://www.rxlist.com/zovirax-ointment-drug.htm
114,Acyclovir Ophthalmic Ointment (Avaclyr),https://www.rxlist.com/avaclyr-drug.htm
115,Aczone Gel (Dapsone),https://www.rxlist.com/aczone-gel-drug.htm
116,"Adacel (Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis Vaccine Adsorbed)",https://www.rxlist.com/adacel-drug.htm
117,Adagen (Pegademase Bovine),https://www.rxlist.com/adagen-drug.htm
118,Adagrasib Tablets (Krazati),https://www.rxlist.com/krazati-drug.htm
119,Adakveo (Crizanlizumab-tmca Injection),https://www.rxlist.com/adakveo-drug.htm
120,Adalat CC (Nifedipine),https://www.rxlist.com/adalat-drug.htm
121,Adalat XL (Nifedipine Extended-release Tablets),https://www.rxlist.com/adalat-xl-drug.htm
122,Adalimumab Injection Solution for Subcutaneous Administration (Humira),https://www.rxlist.com/humira-drug.htm
123,Adalimumab-aacf Injection (Idacio),https://www.rxlist.com/idacio-drug.htm
124,Adalimumab-aaty Injection (Yuflyma),https://www.rxlist.com/yuflyma-drug.htm
125,"Adalimumab-ADBM  Injection, for Subcutaneous Use (Cyltezo)",https://www.rxlist.com/cyltezo-drug.htm
126,"Adalimumab-afzb Injection, for Subcutaneous Use (Abrilada)",https://www.rxlist.com/abrilada-drug.htm
127,Adalimumab-aqvh Injection (Yusimry),https://www.rxlist.com/yusimry-drug.htm
128,adalimumab-atto (Amjevita),https://www.rxlist.com/amjevita-drug.htm
129,Adalimumab-bwwd Injection (Hadlima),https://www.rxlist.com/hadlima-drug.htm
130,Adalimumab-fkjp njection (Hulio),https://www.rxlist.com/hulio-drug.htm
131,"Adalimumab-ryvk Injection, for Subcutaneous Use (Simlandi)",https://www.rxlist.com/simlandi-drug.htm
132,"Adalimumab-xxxx Injection, for Subcutaneous Use (Imraldi)",https://www.rxlist.com/imraldi-drug.htm
133,"ADAMTS13, Recombinant-krhn for Injection (Adzynma)",https://www.rxlist.com/adzynma-drug.htm
134,Adapalene (Differin Gel .3%),https://www.rxlist.com/differin-gel-3-drug.htm
135,Adapalene and Benzoyl Peroxide Gel (Epiduo Gel),https://www.rxlist.com/epiduo-drug.htm
136,Adapalene and Benzoyl Peroxide Gel 0.3%/2.5% (Epiduo Forte),https://www.rxlist.com/epiduo-forte-drug.htm
137,Adapalene Cream (Differin Cream),https://www.rxlist.com/differin-cream-drug.htm
138,Adapalene Gel (Differin Gel .1%),https://www.rxlist.com/differin-gel-1-drug.htm
139,Adapalene Lotion .1% (Differin Lotion .1),https://www.rxlist.com/differin-lotion-1-drug.htm
140,"Adapalene, Benzoyl Peroxide, Clindamycin Topical Gel (Cabtreo)",https://www.rxlist.com/cabtreo-drug.htm
141,Adasuve (Loxapine Inhalation Powder ),https://www.rxlist.com/adasuve-drug.htm
142,Adbry (Tralokinumab-ldrm for Injection),https://www.rxlist.com/adbry-drug.htm
143,Adcetris (Brentuximab Vedotin),https://www.rxlist.com/adcetris-drug.htm
144,Adcirca (Tadalafil Tablets),https://www.rxlist.com/adcirca-drug.htm
145,"Adderall (Amphetamine, Dextroamphetamine Mixed Salts)",https://www.rxlist.com/adderall-drug.htm
146,"Adderall XR (Amphetamine, Dextroamphetamine Mixed Salts)",https://www.rxlist.com/adderall-xr-capsules-drug.htm
147,"Addyi  (Flibanserin Tablets, for Oral Use)",https://www.rxlist.com/addyi-drug.htm
148,Adefovir Dipivoxil (Hepsera),https://www.rxlist.com/hepsera-drug.htm
149,Adempas (Riociguat Tablets),https://www.rxlist.com/adempas-drug.htm
150,Adenocard I.V. (Adenosine),https://www.rxlist.com/adenocard-drug.htm
151,Adenoscan (Adenosine Injection),https://www.rxlist.com/adenoscan-drug.htm
152,Adenosine (Adenocard I.V.),https://www.rxlist.com/adenocard-drug.htm
153,Adenosine Injection (Adenoscan),https://www.rxlist.com/adenoscan-drug.htm
154,"Adenovirus (Adenovirus Type 4 and Type 7 Vaccine, Live, Oral Enteric Coated Tablets for Oral Administration)",https://www.rxlist.com/adenovirus-drug.htm
155,"Adenovirus Type 4 and Type 7 Vaccine, Live, Oral Enteric Coated Tablets for Oral Administration (Adenovirus)",https://www.rxlist.com/adenovirus-drug.htm
156,Adhansia XR (Methylphenidate Hydrochloride Extended-release Capsules),https://www.rxlist.com/adhansia-xr-drug.htm
157,Adipex-P (Phentermine Hydrochloride),https://www.rxlist.com/adipex-p-drug.htm
158,Adlarity (Donepezil Hydrochloride),https://www.rxlist.com/adlarity-drug.htm
159,Adlyxin (Lixisenatide Injection),https://www.rxlist.com/adlyxin-drug.htm
160,Admelog (Insulin Lispro Injection),https://www.rxlist.com/admelog-drug.htm
161,Ado-trastuzumab Emtansine Injection for IV Use (Kadcyla),https://www.rxlist.com/kadcyla-drug.htm
162,Adoxa (Doxycyline Capsules),https://www.rxlist.com/adoxa-drug.htm
163,"Adrenaclick (Epinephrine Injection, USP Auto-injector)",https://www.rxlist.com/adrenaclick-drug.htm
164,Adrenalin (Epinephrine),https://www.rxlist.com/adrenalin-drug.htm
165,AdreView (Iobenguane I 123 Injection for Intravenous Use),https://www.rxlist.com/adreview-drug.htm
166,Adriamycin PFS (Doxorubicin hydrochloride),https://www.rxlist.com/adriamycin-pfs-drug.htm
167,Adrucil (Fluorouracil Injection),https://www.rxlist.com/adrucil-drug.htm
168,"Adstiladrin (Nadofaragene Firadenovec-vncg Suspension, for Intravesical Use)",https://www.rxlist.com/adstiladrin-drug.htm
169,"Adthyza (Thyroid Tablets, USP)",https://www.rxlist.com/adthyza-drug.htm
170,Aducanumab (Aduhelm),https://www.rxlist.com/aduhelm-drug.htm
171,Aduhelm (Aducanumab),https://www.rxlist.com/aduhelm-drug.htm
172,Advair Diskus (Fluticasone Propionate),https://www.rxlist.com/advair-diskus-drug.htm
173,Advair HFA (Fluticasone Propionate and Salmeterol),https://www.rxlist.com/advair-hfa-drug.htm
174,"Advate ([Antihemophilic Factor (Recombinant), Plasma/Albumin-Free Method] for Intravenous Injection)",https://www.rxlist.com/advate-drug.htm
175,Advicor (Niacin XR and Lovastatin),https://www.rxlist.com/advicor-drug.htm
176,"Adynovate (Antihemophilic Factor (Recombinant), PEGylated for Injection)",https://www.rxlist.com/adynovate-drug.htm
177,Adzenys ER (Amphetamine Extended-Release Oral Suspension),https://www.rxlist.com/adzenys-er-drug.htm
178,Adzenys XR-ODT (Amphetamine Extended-release Orally Disintegrating Tablets),https://www.rxlist.com/adzenys-xr-odt-drug.htm
179,"Adzynma (ADAMTS13, Recombinant-krhn for Injection)",https://www.rxlist.com/adzynma-drug.htm
180,Aemcolo (Rifamycin Delayed-release Tablets),https://www.rxlist.com/aemcolo-drug.htm
181,"Aerobid, Aerobid M (Flunisolide Inhaler)",https://www.rxlist.com/aerobid-drug.htm
182,Aerospan HFA (Flunisolide Hemihydrate),https://www.rxlist.com/aerospan-hfa-drug.htm
183,Afamelanotide Implant (Scenesse),https://www.rxlist.com/scenesse-drug.htm
184,"Afamitresgene Autoleucel Suspension, for Intravenous Infusion (Tecelra)",https://www.rxlist.com/tecelra-drug.htm
185,"Afatinib Tablets, for Oral Use (Gilotrif)",https://www.rxlist.com/gilotrif-drug.htm
186,Afeditab CR (Nifedipine Extended-Release Tablets),https://www.rxlist.com/afeditab-cr-drug.htm
187,Afinitor (Everolimus Tablets),https://www.rxlist.com/afinitor-drug.htm
188,Afinitor Disperz (Everolimus Tablets),https://www.rxlist.com/afinitor-disperz-drug.htm
189,Afirmelle (Levonorgestrel and Ethinyl Estradiol Tablets),https://www.rxlist.com/afirmelle-drug.htm
190,Aflibercept (Eylea),https://www.rxlist.com/eylea-drug.htm
191,Aflibercept Injection (Eylea HD),https://www.rxlist.com/eylea-hd-drug.htm
192,"Aflibercept-abzv Injection, for Intravitreal Use (Enzeevu)",https://www.rxlist.com/enzeevu-drug.htm
193,"Aflibercept-ayyh Injection, for Intravitreal Use (Pavblu)",https://www.rxlist.com/pavblu-drug.htm
194,Aflibercept-jbvf Injection (Yesafili),https://www.rxlist.com/yesafili-drug.htm
195,Aflibercept-mrbb Injection (Ahzantive),https://www.rxlist.com/ahzantive-drug.htm
196,Aflibercept-yszy Injection (Opuviz),https://www.rxlist.com/opuviz-drug.htm
197,Afluria (Influenza Virus Vaccine),https://www.rxlist.com/afluria-drug.htm
198,Afluria Quadrivalent 2016 (Afluria Quadrivalent 2016),https://www.rxlist.com/afluria-quadrivalent-drug.htm
199,Afluria Quadrivalent 2020 (2020 Influenza Vaccine Suspension for Intramuscular Injection),https://www.rxlist.com/afluria-quadrivalent-2020-drug.htm
200,Afrezza (Insulin Human Inhalation Powder),https://www.rxlist.com/afrezza-drug.htm
201,Afstyla (Antihemophilic Factor Recombinant Intravenous Injection),https://www.rxlist.com/afstyla-drug.htm
202,Aftera (Levonorgestrel Tablet),https://www.rxlist.com/aftera-drug.htm
203,"AfterPill (Levonorgestrel Tablet, 1.5 mg)",https://www.rxlist.com/afterpill-drug.htm
204,Agalsidase Beta (Fabrazyme),https://www.rxlist.com/fabrazyme-drug.htm
205,Agamree (Vamorolone Oral Suspension),https://www.rxlist.com/agamree-drug.htm
206,Agenerase Capsules (Amprenavir Capsules),https://www.rxlist.com/agenerase-drug.htm
207,Agenerase Oral Solution (Amprenavir Oral Solution),https://www.rxlist.com/agenerase-oral-solution-drug.htm
208,Aggrastat (Tirofiban HCl),https://www.rxlist.com/aggrastat-drug.htm
209,"Aggrenox (Aspirin, Extended-Release Dipyridamole Capsules)",https://www.rxlist.com/aggrenox-drug.htm
210,Agriflu (Influenza Virus Vaccine for Intramuscular Injection),https://www.rxlist.com/agriflu-drug.htm
211,Agrylin (Anagrelide),https://www.rxlist.com/agrylin-drug.htm
212,Ahzantive (Aflibercept-mrbb Injection),https://www.rxlist.com/ahzantive-drug.htm
213,"Aimovig (Erenumab-aooe Injection, for Subcutaneous Use)",https://www.rxlist.com/aimovig-drug.htm
214,Air polymer-type A Intrauterine Foam (ExEm Foam),https://www.rxlist.com/exem-foam-drug.htm
215,Airduo Digihaler (Fluticasone Propionate and Salmeterol Inhalation Powder),https://www.rxlist.com/airduo-digihaler-drug.htm
216,AirDuo RespiClick Inhalation Powder (Fluticasone Propionate and Salmeterol),https://www.rxlist.com/airduo-respiclick-drug.htm
217,"Airsupra (Albuterol and Budesonide Inhalation Aerosol, for Oral Inhalation)",https://www.rxlist.com/airsupra-drug.htm
218,Ajovy (Fremanezumab-vfrm Injection),https://www.rxlist.com/ajovy-drug.htm
219,Ak-Fluor (Fluorescein Injection),https://www.rxlist.com/ak-fluor-drug.htm
220,AK-Pentolate (Cyclopentolate Hydrochloride Ophthalmic Solution),https://www.rxlist.com/ak-pentolate-drug.htm
221,Akeega (Niraparib and Abiraterone Acetate Tablets),https://www.rxlist.com/akeega-drug.htm
222,Akineton (Biperiden),https://www.rxlist.com/akineton-drug.htm
223,Aklief (Trifarotene Cream),https://www.rxlist.com/aklief-drug.htm
224,Akovaz (Ephedrine Sulfate Injection),https://www.rxlist.com/akovaz-drug.htm
225,Akten (Lidocaine Hydrochloride Ophthalmic Gel),https://www.rxlist.com/akten-drug.htm
226,Aktipak   (Erythromycin 3%-Benzoyl Peroxide 5% Topical Gel),https://www.rxlist.com/aktipak-drug.htm
227,Akynzeo (Netupitant and Palonosetron Capsules),https://www.rxlist.com/akynzeo-drug.htm
228,Alamast (Pemirolast Potassium Ophthalmic Solution),https://www.rxlist.com/alamast-drug.htm
229,Albendazole (Albenza),https://www.rxlist.com/albenza-drug.htm
230,Albenza (Albendazole),https://www.rxlist.com/albenza-drug.htm
231,"Albiglutide Pen for Injection, for Subcutaneous Use (Tanzeum)",https://www.rxlist.com/tanzeum-drug.htm
232,Albuked (Albumin - Human Injection),https://www.rxlist.com/albuked-drug.htm
233,Albumin (Human) (Albuminar),https://www.rxlist.com/albuminar-drug.htm
234,Albumin (Human) 5% Solution (Buminate 5%),https://www.rxlist.com/buminate-5-drug.htm
235,"Albumin (Human) U.S.P.] Sterile, Aqueous Solution for Single Dose Intravenous Administration (Kedbumin)",https://www.rxlist.com/kedbumin-drug.htm
236,"Albumin (Human) USP, 5% Solution (Flexbumin)",https://www.rxlist.com/flexbumin-drug.htm
237,Albumin - Human Injection (Albutein),https://www.rxlist.com/albutein-drug.htm
238,Albumin - Human Injection (AlbuRx),https://www.rxlist.com/alburx-drug.htm
239,Albumin - Human Injection (Albuked),https://www.rxlist.com/albuked-drug.htm
240,Albumin - Human Solution for Injection  (Plasbumin),https://www.rxlist.com/plasbumin-drug.htm
241,Albumin Human Solution for Injection (Albuminex),https://www.rxlist.com/albuminex-drug.htm
242,"Albumin Human, USP, 25% Solution (Buminate 25%)",https://www.rxlist.com/buminate-drug.htm
243,Albumin-bound Paclitaxel for Injectable Suspension (Abraxane),https://www.rxlist.com/abraxane-drug.htm
244,Albuminar (Albumin (Human)),https://www.rxlist.com/albuminar-drug.htm
245,Albuminex (Albumin Human Solution for Injection),https://www.rxlist.com/albuminex-drug.htm
246,AlbuRx (Albumin - Human Injection),https://www.rxlist.com/alburx-drug.htm
247,Albutein (Albumin - Human Injection),https://www.rxlist.com/albutein-drug.htm
248,"Albuterol and Budesonide Inhalation Aerosol, for Oral Inhalation (Airsupra)",https://www.rxlist.com/airsupra-drug.htm
249,Albuterol Inhalation (Proventil HFA),https://www.rxlist.com/proventil-drug.htm
250,Albuterol Sulfate (Albuterol Sulfate Inhalation Solution),https://www.rxlist.com/albuterol-sulfate-drug.htm
251,Albuterol Sulfate Extended-Release Tablets (VoSpire ER),https://www.rxlist.com/vospire-er-drug.htm
252,Albuterol Sulfate Inhalation Aerosol (Proair HFA),https://www.rxlist.com/proair-drug.htm
253,Albuterol Sulfate Inhalation Aerosol (Ventolin HFA),https://www.rxlist.com/ventolin-hfa-drug.htm
254,Albuterol Sulfate Inhalation Powder (ProAir Respiclick),https://www.rxlist.com/proair-respiclick-drug.htm
255,Albuterol Sulfate Inhalation Powder (Proair Digihaler),https://www.rxlist.com/proair-digihaler-drug.htm
256,Albuterol Sulfate Inhalation Solution (Ventolin Solution),https://www.rxlist.com/ventolin-solution-drug.htm
257,Albuterol Sulfate Inhalation Solution (Albuterol Sulfate),https://www.rxlist.com/albuterol-sulfate-drug.htm
258,Albuterol Sulfate Inhalation Solution (AccuNeb),https://www.rxlist.com/accuneb-drug.htm
259,Albuterol Sulfate Syrup (Ventolin Syrup),https://www.rxlist.com/ventolin-syrup-drug.htm
260,Albuterol Sulfate Tablets (Albuterol Sulfate Tablets),https://www.rxlist.com/albuterol-sulfate-tablets-drug.htm
261,Alcaftadine Ophthalmic Solution (Lastacaft),https://www.rxlist.com/lastacaft-drug.htm
262,Alcaine (Proparacaine Hydrochloride Ophthalmic Solution),https://www.rxlist.com/alcaine-drug.htm
263,"Alclometasone Dipropionate Cream, Ointment (Aclovate)",https://www.rxlist.com/aclovate-drug.htm
264,Aldactazide (Spironolactone and Hydrochlorothiazide),https://www.rxlist.com/aldactazide-drug.htm
265,Aldactone (Spironolactone),https://www.rxlist.com/aldactone-drug.htm
266,Aldara (Imiquimod),https://www.rxlist.com/aldara-drug.htm
267,Aldesleukin for Injection (Proleukin),https://www.rxlist.com/proleukin-drug.htm
268,Aldomet (Methyldopa),https://www.rxlist.com/aldomet-drug.htm
269,Aldoril (Methyldopa-Hydrochlorothiazide),https://www.rxlist.com/aldoril-drug.htm
270,Aldurazyme (Laronidase),https://www.rxlist.com/aldurazyme-drug.htm
271,Alecensa (Alectinib Capsules),https://www.rxlist.com/alecensa-drug.htm
272,Alectinib Capsules (Alecensa),https://www.rxlist.com/alecensa-drug.htm
273,Alefacept (Amevive),https://www.rxlist.com/amevive-drug.htm
274,Alemtuzumab (Campath),https://www.rxlist.com/campath-drug.htm
275,Alemtuzumab Injection for Intravenous Infusion (Lemtrada),https://www.rxlist.com/lemtrada-drug.htm
276,Alendronate Sodium (Fosamax),https://www.rxlist.com/fosamax-drug.htm
277,Alendronate Sodium and Cholecalciferol (Fosamax Plus D),https://www.rxlist.com/fosamax-plus-d-drug.htm
278,Alendronate Sodium Effervescent Tablets (Binosto),https://www.rxlist.com/binosto-drug.htm
279,Alesse (Levonorgestrel and Ethinyl Estradiol),https://www.rxlist.com/alesse-drug.htm
280,Alfenta (Alfentanil for Injection),https://www.rxlist.com/alfenta-drug.htm
281,alfentanil (Alfentanil Injection),https://www.rxlist.com/alfentanil-drug.htm
282,Alfentanil for Injection (Alfenta),https://www.rxlist.com/alfenta-drug.htm
283,Alfentanil Injection (alfentanil),https://www.rxlist.com/alfentanil-drug.htm
284,Alfuzosin HCl (Uroxatral),https://www.rxlist.com/uroxatral-drug.htm
285,Alglucerase Injection (Ceredase),https://www.rxlist.com/ceredase-drug.htm
286,Alglucosidase Alfa (Myozyme),https://www.rxlist.com/myozyme-drug.htm
287,Alglucosidase Alfa (Lumizyme),https://www.rxlist.com/lumizyme-drug.htm
